FIPS, Name , Race ,Total,Employed,Unemployed,NILF
01073c," Jefferson County, AL ", All other non-Hispanic ,3426,1959,,
01073c," Jefferson County, AL ", Latino ,14544,12072,,1665
01073c," Jefferson County, AL ", Non-Hispanic American Indian ,,,,
01073c," Jefferson County, AL ", Non-Hispanic Asian ,7177,5772,,1271
01073c," Jefferson County, AL ", Non-Hispanic black ,172804,115105,13076,44623
01073c," Jefferson County, AL ", Non-Hispanic white ,199806,150887,7307,41612
01073c," Jefferson County, AL ", Total ,398897,286542,22023,90332
04013a," Phoenix, AZ ", All other non-Hispanic ,16288,11669,,3423
04013a," Phoenix, AZ ", Latino ,393582,265032,17786,110764
04013a," Phoenix, AZ ", Non-Hispanic American Indian ,14707,10450,,3005
04013a," Phoenix, AZ ", Non-Hispanic Asian ,30123,20942,,7965
04013a," Phoenix, AZ ", Non-Hispanic black ,64745,40950,4688,19107
04013a," Phoenix, AZ ", Non-Hispanic white ,393372,291531,15693,86148
04013a," Phoenix, AZ ", Total ,912817,640574,41831,230412
04013b," Maricopa County (excluding Phoenix), AZ ", All other non-Hispanic ,27606,20015,1656,5935
04013b," Maricopa County (excluding Phoenix), AZ ", Latino ,356313,264580,12617,79116
04013b," Maricopa County (excluding Phoenix), AZ ", Non-Hispanic American Indian ,26710,17632,1846,7232
04013b," Maricopa County (excluding Phoenix), AZ ", Non-Hispanic Asian ,89982,61536,2482,25964
04013b," Maricopa County (excluding Phoenix), AZ ", Non-Hispanic black ,70221,54288,3831,12102
04013b," Maricopa County (excluding Phoenix), AZ ", Non-Hispanic white ,1017976,763575,37643,216758
04013b," Maricopa County (excluding Phoenix), AZ ", Total ,1588808,1181626,60075,347107
040143c," Tulsa County, AZ ", All other non-Hispanic ,26521,20255,2270,3996
040143c," Tulsa County, AZ ", Latino ,43945,31770,2225,9950
040143c," Tulsa County, AZ ", Non-Hispanic American Indian ,22325,15537,,6249
040143c," Tulsa County, AZ ", Non-Hispanic Asian ,11802,8057,,3580
040143c," Tulsa County, AZ ", Non-Hispanic black ,41456,26767,3143,11546
040143c," Tulsa County, AZ ", Non-Hispanic white ,277396,210642,9284,57470
040143c," Tulsa County, AZ ", Total ,423445,313028,17626,92791
04019c," Pima County, AZ ", All other non-Hispanic ,9910,5021,2314,2575
04019c," Pima County, AZ ", Latino ,215735,150209,15655,49871
04019c," Pima County, AZ ", Non-Hispanic American Indian ,15768,8801,3061,3906
04019c," Pima County, AZ ", Non-Hispanic Asian ,19659,12783,,6278
04019c," Pima County, AZ ", Non-Hispanic black ,19993,12853,1609,5531
04019c," Pima County, AZ ", Non-Hispanic white ,295557,202744,12945,79868
04019c," Pima County, AZ ", Total ,576622,392411,36182,148029
06001c," Alameda County, CA ", All other non-Hispanic ,34697,25940,2188,6569
06001c," Alameda County, CA ", Latino ,230176,173063,8328,48785
06001c," Alameda County, CA ", Non-Hispanic American Indian ,3195,2068,,1103
06001c," Alameda County, CA ", Non-Hispanic Asian ,328266,239659,12132,76475
06001c," Alameda County, CA ", Non-Hispanic black ,116759,79802,8924,28033
06001c," Alameda County, CA ", Non-Hispanic white ,346408,272193,10418,63797
06001c," Alameda County, CA ", Total ,1059501,792725,42014,224762
06013c," Contra Costa County, CA ", All other non-Hispanic ,28279,19281,2281,6717
06013c," Contra Costa County, CA ", Latino ,175005,126861,9675,38469
06013c," Contra Costa County, CA ", Non-Hispanic American Indian ,1512,,,
06013c," Contra Costa County, CA ", Non-Hispanic Asian ,121270,87475,3839,29956
06013c," Contra Costa County, CA ", Non-Hispanic black ,61846,40302,6644,14900
06013c," Contra Costa County, CA ", Non-Hispanic white ,307550,231454,13640,62456
06013c," Contra Costa County, CA ", Total ,695462,506330,36225,152907
06019c," Fresno County, CA ", All other non-Hispanic ,10787,6550,,3617
06019c," Fresno County, CA ", Latino ,292857,195021,21367,76469
06019c," Fresno County, CA ", Non-Hispanic American Indian ,2276,1297,,930
06019c," Fresno County, CA ", Non-Hispanic Asian ,60722,36730,5982,18010
06019c," Fresno County, CA ", Non-Hispanic black ,27522,14557,3643,9322
06019c," Fresno County, CA ", Non-Hispanic white ,176292,120646,8412,47234
06019c," Fresno County, CA ", Total ,570456,374801,40073,155582
06029c," Kern County, CA ", All other non-Hispanic ,7430,4435,,1936
06029c," Kern County, CA ", Latino ,259360,171471,23300,64589
06029c," Kern County, CA ", Non-Hispanic American Indian ,2318,1487,,
06029c," Kern County, CA ", Non-Hispanic Asian ,25245,18063,,6126
06029c," Kern County, CA ", Non-Hispanic black ,24428,13026,2465,8937
06029c," Kern County, CA ", Non-Hispanic white ,184203,120531,11732,51940
06029c," Kern County, CA ", Total ,502984,329013,39806,134165
06037a," Los Angeles, CA ", All other non-Hispanic ,55436,41580,4113,9743
06037a," Los Angeles, CA ", Latino ,1244721,886384,67804,290533
06037a," Los Angeles, CA ", Non-Hispanic American Indian ,4550,2456,,1486
06037a," Los Angeles, CA ", Non-Hispanic Asian ,313154,222133,12612,78409
06037a," Los Angeles, CA ", Non-Hispanic black ,241158,153676,21176,66306
06037a," Los Angeles, CA ", Non-Hispanic white ,728946,541894,36133,150919
06037a," Los Angeles, CA ", Total ,2587965,1848123,142446,597396
06037b," Los Angeles County (excluding Los Angeles), CA ", All other non-Hispanic ,70555,50133,3828,16594
06037b," Los Angeles County (excluding Los Angeles), CA ", Latino ,1868918,1299826,99382,469710
06037b," Los Angeles County (excluding Los Angeles), CA ", Non-Hispanic American Indian ,10187,6265,,3745
06037b," Los Angeles County (excluding Los Angeles), CA ", Non-Hispanic Asian ,673119,478422,25347,169350
