 FIPS , Name , Race ,Total,Employed,Unemployed,NILF
 10003c , New Castle County (part) , All other non-Hispanic ,7027,4317,,2328
 10003c , New Castle County (part) , Latino ,32187,23870,,7435
 10003c , New Castle County (part) , Non-Hispanic American Indian ,,,,
 10003c , New Castle County (part) , Non-Hispanic Asian ,19802,15562,,3535
 10003c , New Castle County (part) , Non-Hispanic black ,81185,59546,4302,17337
 10003c , New Castle County (part) , Non-Hispanic white ,200813,156266,8779,35768
 10003c , New Castle County (part) , Total ,341454,260001,15050,66403
 1073c , Jefferson County (part) , All other non-Hispanic ,3426,1959,,
 1073c , Jefferson County (part) , Latino ,14544,12072,,1665
 1073c , Jefferson County (part) , Non-Hispanic American Indian ,,,,
 1073c , Jefferson County (part) , Non-Hispanic Asian ,7177,5772,,1271
 1073c , Jefferson County (part) , Non-Hispanic black ,172804,115105,13076,44623
 1073c , Jefferson County (part) , Non-Hispanic white ,199806,150887,7307,41612
 1073c , Jefferson County (part) , Total ,398897,286542,22023,90332
 11001a ," Washington city, District of Columbia ", All other non-Hispanic ,11784,8528,,2848
 11001a ," Washington city, District of Columbia ", Latino ,47667,37966,2081,7620
 11001a ," Washington city, District of Columbia ", Non-Hispanic American Indian ,,,,
 11001a ," Washington city, District of Columbia ", Non-Hispanic Asian ,20203,16596,,3287
 11001a ," Washington city, District of Columbia ", Non-Hispanic black ,186029,119358,18786,47885
 11001a ," Washington city, District of Columbia ", Non-Hispanic white ,174749,154302,3582,16865
 11001a ," Washington city, District of Columbia ", Total ,441487,337425,25557,78505
 12009c , Brevard County (part) , All other non-Hispanic ,7784,5151,,2047
 12009c , Brevard County (part) , Latino ,32271,22593,1790,7888
 12009c , Brevard County (part) , Non-Hispanic American Indian ,1058,,,
 12009c , Brevard County (part) , Non-Hispanic Asian ,7566,5519,,1903
 12009c , Brevard County (part) , Non-Hispanic black ,32545,21605,1952,8988
 12009c , Brevard County (part) , Non-Hispanic white ,246053,166539,9045,70469
 12009c , Brevard County (part) , Total ,327277,222317,13517,91443
 12011c , Broward County (part) , All other non-Hispanic ,22548,16536,1858,4154
 12011c , Broward County (part) , Latino ,350745,272944,14681,63120
 12011c , Broward County (part) , Non-Hispanic American Indian ,1266,,,649
 12011c , Broward County (part) , Non-Hispanic Asian ,45213,31313,2927,10973
 12011c , Broward County (part) , Non-Hispanic black ,326260,232424,33543,60293
 12011c , Broward County (part) , Non-Hispanic white ,433498,327519,22716,83263
 12011c , Broward County (part) , Total ,1179530,881353,75725,222452
 12031a ," Jacksonville city, Florida ", All other non-Hispanic ,13296,9559,1355,2382
 12031a ," Jacksonville city, Florida ", Latino ,49005,38254,2309,8442
 12031a ," Jacksonville city, Florida ", Non-Hispanic American Indian ,,,,
 12031a ," Jacksonville city, Florida ", Non-Hispanic Asian ,27684,20877,,5844
 12031a ," Jacksonville city, Florida ", Non-Hispanic black ,160185,108722,12515,38948
 12031a ," Jacksonville city, Florida ", Non-Hispanic white ,310840,228780,13933,68127
 12031a ," Jacksonville city, Florida ", Total ,561704,406504,31075,124125
 12057c , Hillsborough County (part) , All other non-Hispanic ,20209,14880,,4797
 12057c , Hillsborough County (part) , Latino ,225630,159133,17203,49294
 12057c , Hillsborough County (part) , Non-Hispanic American Indian ,794,716,,
 12057c , Hillsborough County (part) , Non-Hispanic Asian ,33805,22445,1159,10201
 12057c , Hillsborough County (part) , Non-Hispanic black ,129088,85105,10745,33238
 12057c , Hillsborough County (part) , Non-Hispanic white ,426116,317696,16353,92067
 12057c , Hillsborough County (part) , Total ,835642,599975,46029,189638
 12071c , Lee County (part) , All other non-Hispanic ,6268,3404,,2240
 12071c , Lee County (part) , Latino ,85699,58981,2419,24299
 12071c , Lee County (part) , Non-Hispanic American Indian ,,,,
 12071c , Lee County (part) , Non-Hispanic Asian ,6886,4446,,2060
 12071c , Lee County (part) , Non-Hispanic black ,30520,20231,2024,8265
 12071c , Lee County (part) , Non-Hispanic white ,246576,164504,12177,69895
 12071c , Lee County (part) , Total ,376117,251642,17624,106851
 12086c , Miami-Dade County (part) , All other non-Hispanic ,9905,6749,,2938
 12086c , Miami-Dade County (part) , Latino ,1146472,826229,51813,268430
 12086c , Miami-Dade County (part) , Non-Hispanic American Indian ,,,,
 12086c , Miami-Dade County (part) , Non-Hispanic Asian ,28688,21168,,6765
 12086c , Miami-Dade County (part) , Non-Hispanic black ,267482,165939,27544,73999
 12086c , Miami-Dade County (part) , Non-Hispanic white ,210963,154501,5767,50695
 12086c , Miami-Dade County (part) , Total ,1663803,1174879,86097,402827
 12095c , Orange County (part) , All other non-Hispanic ,21932,16351,,4835
 12095c , Orange County (part) , Latino ,246951,180280,12948,53723
 12095c , Orange County (part) , Non-Hispanic American Indian ,,,,
 12095c , Orange County (part) , Non-Hispanic Asian ,46586,35425,,10508
 12095c , Orange County (part) , Non-Hispanic black ,163301,122737,11138,29426
 12095c , Orange County (part) , Non-Hispanic white ,350930,271107,12868,66955
 12095c , Orange County (part) , Total ,830899,626828,38464,165607
 12099c , Palm Beach County (part) , All other non-Hispanic ,14303,10595,,3088
 12099c , Palm Beach County (part) , Latino ,188528,136521,10473,41534
 12099c , Palm Beach County (part) , Non-Hispanic American Indian ,,,,
 12099c , Palm Beach County (part) , Non-Hispanic Asian ,25105,19301,,5460
 12099c , Palm Beach County (part) , Non-Hispanic black ,155903,108158,16249,31496
 12099c , Palm Beach County (part) , Non-Hispanic white ,420047,316483,15667,87897
 12099c , Palm Beach County (part) , Total ,805002,591818,43435,169749
 12103c , Pinellas County (part) , All other non-Hispanic ,11155,8052,,2585
 12103c , Pinellas County (part) , Latino ,53216,40182,2646,10388
 12103c , Pinellas County (part) , Non-Hispanic American Indian ,1745,1215,,
 12103c , Pinellas County (part) , Non-Hispanic Asian ,21792,16517,,5044
 12103c , Pinellas County (part) , Non-Hispanic black ,58339,35556,6104,16679
 12103c , Pinellas County (part) , Non-Hispanic white ,412151,303221,16751,92179
 12103c , Pinellas County (part) , Total ,558398,404743,26250,127405
 12105c , Polk County (part) , All other non-Hispanic ,5491,2693,,2043
 12105c , Polk County (part) , Latino ,78872,51050,4992,22830
 12105c , Polk County (part) , Non-Hispanic American Indian ,974,789,,
 12105c , Polk County (part) , Non-Hispanic Asian ,8222,5887,,2127
 12105c , Polk County (part) , Non-Hispanic black ,54721,36546,4230,13945
 12105c , Polk County (part) , Non-Hispanic white ,218187,148725,11008,58454
 12105c , Polk County (part) , Total ,366467,245690,21193,99584
 13067c , Cobb County (part) , All other non-Hispanic ,11718,9407,,1968
 13067c , Cobb County (part) , Latino ,56332,41597,2795,11940
 13067c , Cobb County (part) , Non-Hispanic American Indian ,,,,
 13067c , Cobb County (part) , Non-Hispanic Asian ,25927,19266,,6379
 13067c , Cobb County (part) , Non-Hispanic black ,127666,101260,8442,17964
 13067c , Cobb County (part) , Non-Hispanic white ,248082,193669,10339,44074
 13067c , Cobb County (part) , Total ,470173,365543,22252,82378
 13089c , DeKalb County (part) , All other non-Hispanic ,7959,5871,,1785
 13089c , DeKalb County (part) , Latino ,36151,27427,1986,6738
 13089c , DeKalb County (part) , Non-Hispanic American Indian ,,,,
 13089c , DeKalb County (part) , Non-Hispanic Asian ,29304,20224,,8525
 13089c , DeKalb County (part) , Non-Hispanic black ,249818,173419,22584,53815
 13089c , DeKalb County (part) , Non-Hispanic white ,127103,104294,4340,18469
 13089c , DeKalb County (part) , Total ,451687,332223,29837,89627
 13121c , Fulton County (part) , All other non-Hispanic ,7935,5429,,1227
